skill,path,category,priority,purpose,flow_use_case,expected_frequency,context_token_cost,overlap,security_risk,signals,recommendation,bytes
azure-communication-callingserver-java,azure-communication-callingserver-java,F - DOMAIN-SPECIFIC / FUTURE,P3,Azure Communication Services CallingServer (legacy) Java SDK. Note - This SDK is deprecated. Use azure-communication-callautomation instead for new projects. Only use this skill when maintaining legacy code.,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,LOW-MEDIUM,credential handling,Park for future integrations,2860
azure-communication-chat-java,azure-communication-chat-java,F - DOMAIN-SPECIFIC / FUTURE,P3,"Build real-time chat applications with Azure Communication Services Chat Java SDK. Use when implementing chat threads, messaging, participants, read receipts, typing notifications, or real-time chat features.","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,9550
azure-communication-common-java,azure-communication-common-java,F - DOMAIN-SPECIFIC / FUTURE,P3,"Azure Communication Services common utilities for Java. Use when working with CommunicationTokenCredential, user identifiers, token refresh, or shared authentication across ACS services.","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Park for future integrations,9680
azure-communication-sms-java,azure-communication-sms-java,F - DOMAIN-SPECIFIC / FUTURE,P3,"Send SMS messages with Azure Communication Services SMS Java SDK. Use when implementing SMS notifications, alerts, OTP delivery, bulk messaging, or delivery reports.","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,8993
azure-compliance,azure-compliance,F - DOMAIN-SPECIFIC / FUTURE,P3,"Run Azure compliance and security audits with azqr plus Key Vault expiration checks. Covers best-practice assessment, resource review, policy/compliance validation, and security posture checks. WHEN: compliance scan, security audit, BEFORE ","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,LOW-MEDIUM,credential handling,Park for future integrations,4739
azure-compute,azure-compute,F - DOMAIN-SPECIFIC / FUTURE,P3,"Azure VM/VMSS router. WHEN: create / provision / deploy / spin-up VM, recommend VM size, compare VM pricing, VMSS, scale set, autoscale, burstable, lightweight server, website, backend, GPU, machine learning, HPC simulation, dev/test, workl","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,LOW-MEDIUM,credential handling,Park for future integrations,2613
azure-compute-batch-java,azure-compute-batch-java,F - DOMAIN-SPECIFIC / FUTURE,P3,/-,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,11898
azure-containerregistry-py,azure-containerregistry-py,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Park for future integrations,8708
azure-cosmos-db-py,azure-cosmos-db-py,F - DOMAIN-SPECIFIC / FUTURE,P3,"Build Azure Cosmos DB NoSQL services with Python/FastAPI following production-grade patterns. Use when implementing database client setup with dual auth (DefaultAzureCredential + emulator), service layer classes with CRUD operations, partit","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,11033
azure-cosmos-java,azure-cosmos-java,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,7495
azure-cosmos-py,azure-cosmos-py,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,9309
azure-cosmos-rust,azure-cosmos-rust,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,6557
azure-cosmos-ts,azure-cosmos-ts,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,11866
azure-cost,azure-cost,F - DOMAIN-SPECIFIC / FUTURE,P3,"Azure cost management: query costs, forecast spending, optimize to reduce waste. WHEN: \""Azure costs\"", \""Azure bill\"", \""cost breakdown\"", \""how much am I spending\"", \""forecast spending\"", \""optimize costs\"", \""reduce spending\"", \""orphan","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Low,None obvious,LOW-MEDIUM,credential handling,Park for future integrations,1886
azure-data-tables-java,azure-data-tables-java,F - DOMAIN-SPECIFIC / FUTURE,P3,"Build table storage applications with Azure Tables SDK for Java. Use when working with Azure Table Storage or Cosmos DB Table API for NoSQL key-value data, schemaless storage, or structured data at scale.","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,9873
azure-data-tables-py,azure-data-tables-py,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,8411
azure-deploy,azure-deploy,F - DOMAIN-SPECIFIC / FUTURE,P3,Execute Azure deployments for ALREADY-PREPARED applications that have existing .azure/deployment-plan.md and infrastructure files. DO NOT use this skill when the user asks to CREATE a new application — use azure-prepare instead. This skill ,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,LOW-MEDIUM,credential handling,Park for future integrations,6568
azure-diagnostics,azure-diagnostics,F - DOMAIN-SPECIFIC / FUTURE,P3,"Debug Azure production issues on Azure using AppLens, Azure Monitor, resource health, and safe triage. WHEN: debug production issues, troubleshoot app service, app service high CPU, app service deployment failure, troubleshoot container app","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling,Park for future integrations,6369
azure-enterprise-infra-planner,azure-enterprise-infra-planner,F - DOMAIN-SPECIFIC / FUTURE,P3,"Architect and provision enterprise Azure infrastructure from workload descriptions. For cloud architects and platform engineers planning networking, identity, security, compliance, and multi-resource topologies with WAF alignment. Generates","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,remote dynamic instructions; credential handling; broad external access,Park for future integrations,3629
azure-eventgrid-dotnet,azure-eventgrid-dotnet,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Park for future integrations,13924
azure-eventgrid-java,azure-eventgrid-java,F - DOMAIN-SPECIFIC / FUTURE,P3,"Build event-driven applications with Azure Event Grid SDK for Java. Use when publishing events, implementing pub/sub patterns, or integrating with Azure services via events.","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Park for future integrations,9240
azure-eventgrid-py,azure-eventgrid-py,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Park for future integrations,7346
azure-eventhub-dotnet,azure-eventhub-dotnet,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,10920
